N,d01_mean,d01_std,d05_mean,d05_std,d09_mean,d09_std
200,0.10310697379720392,0.037269110402574135,0.053122097386568735,0.019743564892791624,0.1269863059532134,0.06752912500424067
400,0.06734855490880809,0.029988379172253415,0.035657277734532124,0.012896254977796864,0.042465124132511065,0.01890070476806921
600,0.06923845017946523,0.025922918312438616,0.02823050933433037,0.01352662402709363,0.022979926957239227,0.009703960722949262
800,0.052794164966766075,0.020425808384969536,0.02402965887934207,0.010816443050223253,0.01842846845858767,0.007119666414557989
1000,0.04406662047093558,0.017197414471985775,0.019884637782205953,0.00937414289056952,0.017305186067053047,0.007447506229830822
1200,0.04442478413839243,0.013592288390622655,0.01746530008461317,0.008423913302805225,0.014288760575252453,0.0052225916981794565
1400,0.039295191868423986,0.013426534930609595,0.017863549830799214,0.00757860161238899,0.013480233980339833,0.005875598756249416
1600,0.03403693830838813,0.013055548450272169,0.013565224934498467,0.004941385119901803,0.01196879270569156,0.0047805213451359635
1800,0.034749515144112106,0.013252906675196595,0.014285528382574597,0.007459128080793671,0.010918262593603987,0.004495763290692751
2000,0.033609619862575116,0.013920058146276214,0.014557647038190265,0.0066783353396568795,0.009882849874237716,0.003935034252519055
2200,0.03097713335599653,0.011221524294014792,0.012269020009837251,0.003967867683474994,0.010940814514529225,0.004107313473377554
2400,0.028799976414375372,0.01032591135677051,0.011689879941511792,0.005898918635303423,0.009510122215700306,0.004178148916164294
2600,0.02894549124426141,0.009904186919245488,0.010558537370827806,0.003300828883967764,0.008854465787690759,0.003652987726397218
2800,0.025082782592095346,0.006457088441034728,0.00927053078907281,0.003038684285853839,0.00802837200028246,0.0029678838900419726
3000,0.028172497067142307,0.009278306692547447,0.011213165053730646,0.0034949576018753047,0.009127532612306515,0.0037122396749287405
3500,0.02629544704671165,0.0080712861605254,0.009615846541623755,0.003513676197034451,0.007387483668824287,0.002914158283708427
4000,0.022914833257385588,0.006711795267323965,0.009825581438967732,0.0039139652112007844,0.006198101068846356,0.0019767595258555243
4500,0.022389200852733205,0.005870292833779292,0.00969208719864178,0.003616346124463482,0.005971723522799366,0.002150617923905991
5000,0.02170972362302143,0.007844184100031352,0.008606106176797194,0.0029906779783129933,0.005694734723847128,0.00212416103707023
5500,0.02253975308677453,0.006034643825993655,0.00768276929077778,0.002784868955962302,0.005765805585231907,0.0020363002826621662
6000,0.019627937777574437,0.004974587869106033,0.007561236384387759,0.002648702392453173,0.005395270040730435,0.002275205453576843
6500,0.021856283519762664,0.0060044893702076605,0.008035958723291938,0.002913196382051821,0.005108413807343219,0.0019171341531502243
7000,0.019627476919697885,0.004749122589491402,0.0074120754637123885,0.0032151307146437037,0.005268944374938727,0.0018650933964269169
7500,0.017650856373160044,0.004876265001777945,0.007350830428793099,0.002744084093474057,0.005099898247868528,0.0020934327407850354
8000,0.019529022842242064,0.005933234005862385,0.007938972727599511,0.002173278946807321,0.0050215620990517575,0.001733909106925604
