N,EigTime
200,0.0021013908999999997
400,0.005248496639999999
600,0.0114426992
800,0.020015585659999998
1000,0.03394591839999999
1200,0.05224600582000001
1400,0.07653695086000001
1600,0.10844307583999999
1800,0.14753710154
2000,0.19730563087999997
2200,0.25698843833999996
2400,0.33979739577999996
2600,0.44652035162
2800,0.5899879691599998
3000,0.7656532607800002
3500,1.41945968584
4000,2.3804039766599994
4500,3.55260749508
5000,4.853578377499999
5500,6.633768079179999
6000,8.153758246640002
6500,10.615608007519997
7000,12.931110153339999
7500,16.092424418319997
8000,19.136200047519996
