N,LanTime
200,0.00020287748000000002
400,0.00058175664
600,0.0012569074
800,0.00179224156
1000,0.0023027066799999997
1200,0.0033800517400000007
1400,0.004181148340000001
1600,0.0064370342
1800,0.008611807500000002
2000,0.01094757996
2200,0.0138766075
2400,0.0188068692
2600,0.023323749180000002
2800,0.029052027500000004
3000,0.031287487540000006
3500,0.04041495157999999
4000,0.055973775
4500,0.07642069843999998
5000,0.08819548242000001
5500,0.10497007491999998
6000,0.12207176329999996
6500,0.14021623419999998
7000,0.16156812086000003
7500,0.18668517248000005
8000,0.20729647422
