N,d01_mean,d01_std,d05_mean,d05_std,d09_mean,d09_std
200,0.04346628436512647,0.02015775936869724,0.1638257922445366,0.07545326019577019,0.2379682778351715,0.1561728206051203
400,0.02281461503788985,0.013358889277375012,0.10627860410348688,0.04346474349309886,0.1554314534260125,0.08085187741941365
600,0.020118251958039332,0.00889269755162106,0.061784107952430015,0.030766599898650514,0.13246048365008853,0.06432842767986363
800,0.015755493415970493,0.006471478570643518,0.0520778880918175,0.029229167633794777,0.10204242819516272,0.05318331702741258
1000,0.012409428730993287,0.005463302828255694,0.04601481416707941,0.023548379974420584,0.0954057320731302,0.03672323560639458
1200,0.011358490559225385,0.0061904055632086554,0.03932406055817415,0.020446151892078678,0.08259212534450537,0.0339394413651661
1400,0.010999674520281603,0.005017828111111475,0.02949148470135584,0.02101313396297405,0.07430903141369058,0.031237772171211813
1600,0.008367050774393791,0.004396846441708636,0.02828091583963875,0.016407154092364134,0.05870511459773757,0.025400529831917193
1800,0.009054033320476157,0.004636349633055856,0.02537030393812391,0.016264326429559106,0.05686639665983183,0.024223971693421213
2000,0.007723217538162543,0.00382209145836531,0.02252290319158366,0.013419138591443495,0.05253347010654142,0.017494191332778644
2200,0.008280051652820603,0.003814999275265552,0.02190081993795607,0.012693141488612667,0.046084342478031545,0.02292390931141568
2400,0.006884048598112393,0.0036834054577468468,0.022406638000556124,0.012593626128317915,0.046312214321576055,0.017935735383015423
2600,0.006649366235745553,0.0028563421906632742,0.017721208523783637,0.009724667626830682,0.0401438317771248,0.017991654218185493
2800,0.00664767558737895,0.0031342995619718663,0.015528214797025956,0.010101592505142063,0.03737736937241797,0.016408787548470118
3000,0.006389342334445635,0.002357606528578781,0.01705691590577682,0.008885965183840428,0.03627165696829876,0.017226237004731196
3500,0.005414273360265381,0.002267213326897003,0.015666617267527258,0.009926811634836606,0.029498455748039464,0.015359560930798145
4000,0.005473480472091294,0.0018883319229670206,0.013628395596270014,0.008269896364829098,0.027248965332107567,0.013942384345257137
4500,0.005366613269782712,0.001509440096820231,0.014579958952814472,0.007142171108035898,0.025432636067351057,0.014650166712215012
5000,0.004728574621194867,0.001561349256246266,0.0096284105873694,0.00590692739448901,0.023230752913771795,0.012993050775084067
5500,0.005119995060281644,0.001290734805232395,0.008183831041630762,0.005174639475713222,0.021360679727483785,0.01098508852625011
6000,0.004602756425950596,0.001106986266267427,0.010687877090679275,0.005973287075345879,0.01601843401697495,0.00966252027095315
6500,0.004721491415768937,0.0009633582176795221,0.009681427314340043,0.005614597677367916,0.01847195246544656,0.011048586211467037
7000,0.0043969473586145625,0.0010788292849616163,0.008429816505729,0.0038650438591404644,0.016887829625592446,0.008845123400765863
7500,0.004146815434856604,0.0010507518246079888,0.006662750489091174,0.0036530364618670556,0.016073849393137093,0.009540223516737705
8000,0.004238894546281422,0.0008080109357303745,0.007120373669169413,0.004501618496201704,0.013340379757997525,0.008049705676054904
