A,B,C,D,E,F,G
1.5,2.1,2.0,2.0,2.0,2.0,2.0
1.55,2.12,2.0,2.0,2.0,2.0,2.0
1.6,2.16,2.0,2.0,2.0,2.0,2.0
1.625,2.12,2.0,2.0,2.0,2.0,2.0
1.65,2.12,2.0,2.0,2.0,2.0,2.0
1.675,2.22,2.0,2.0,2.0,2.0,2.0
1.7,2.28,2.0,2.0,2.0,2.0,2.0
1.725,2.2,2.0,2.0,2.0,2.0,2.0
1.75,2.64,2.0,2.0,2.0,2.0,2.0
1.775,2.5,2.0,2.0,2.0,2.0,2.0
1.8,2.9,2.0,2.0,2.0,2.0,2.0
1.825,2.9,2.0,2.0,2.0,2.0,2.0
1.85,2.9,2.0,2.0,2.0,2.0,2.0
1.875,3.0,2.0,2.0,2.0,2.0,2.0
1.9,3.02,2.0,2.0,2.0,2.0,2.0
1.925,3.1,2.0,2.04,2.0,2.0,2.0
1.95,3.0,2.0,2.0,2.02,2.0,2.0
1.975,3.0,2.0,2.08,2.02,2.0,2.02
2.0,3.02,2.0,2.06,2.0,2.04,2.04
2.025,3.02,2.0,2.22,2.14,2.14,2.14
2.05,3.06,2.0,2.34,2.44,2.28,2.38
2.075,3.02,2.0,2.54,2.58,2.6,2.58
2.1,3.08,2.0,2.72,2.78,2.76,2.78
2.125,3.04,2.0,2.8,2.88,2.86,2.84
2.15,3.06,2.0,2.94,2.94,2.94,2.98
2.175,3.04,2.0,2.88,2.94,3.0,2.94
2.2,3.02,2.0,2.94,2.98,3.0,2.98
2.225,3.04,2.0,2.96,2.98,2.96,2.98
2.25,3.0,2.0,2.98,2.94,2.96,3.0
2.275,3.06,2.0,2.92,2.96,3.0,3.0
2.3,3.04,2.0,2.98,2.98,3.0,3.0
2.35,3.04,2.0,2.98,2.98,3.0,3.0
2.4,3.04,2.0,3.0,3.0,3.0,3.0
2.45,3.04,2.0,3.0,3.0,3.0,3.0
2.5,3.12,2.0,3.0,3.0,3.0,3.0
2.55,3.06,2.0,3.0,3.0,3.0,3.0
2.6,3.02,2.06,3.0,3.0,3.0,3.0
2.65,3.1,2.54,3.0,3.0,3.0,3.0
2.7,3.1,2.96,3.0,3.0,3.0,3.0
2.75,3.04,3.0,3.0,3.0,3.0,3.0
2.8,3.04,3.0,3.0,3.0,3.0,3.0
2.85,3.1,3.0,3.0,3.0,3.0,3.0
2.9,3.06,3.0,3.0,3.0,3.0,3.0
2.95,3.1,3.0,3.0,3.0,3.0,3.0
3.0,3.08,3.0,2.98,3.0,3.0,3.0
