A,B
1.5,18.395960652379998
1.55,18.61860358418
1.6,18.61474067338
1.625,18.381730294959997
1.65,18.27359780082
1.675,18.27307180664
1.7,18.263003485
1.725,18.293795989100005
1.75,18.47809537418
1.775,18.60083729172
1.8,18.650716147580003
1.825,18.22950678918
1.85,18.79833220666
1.875,18.740666794179997
1.9,18.920368644179998
1.925,18.785034721739997
1.95,18.86344154924
1.975,18.87372045582
2.0,18.7786621616
2.025,18.7747779717
2.05,18.410195515
2.075,18.26382135752
2.1,18.45824554838
2.125,18.30231891994
2.15,18.3436396316
2.175,18.366515096620002
2.2,18.54275683414
2.225,18.41622381174
2.25,18.38573210904
2.275,18.10644781258
2.3,18.32817555746
2.35,18.73091895916
2.4,18.478536254959998
2.45,18.699609001680003
2.5,18.63837435412
2.55,18.374766516679998
2.6,18.21200839752
2.65,18.395059406620003
2.7,18.37127481666
2.75,18.27864939578
2.8,18.34120374998
2.85,18.19027628248
2.9,18.23088149834
2.95,18.64641118002
3.0,18.21660326328
