A,B,C,D,E,F,G
1.5,0.9,1.0,1.0,1.0,1.0,1.0
1.55,0.88,1.0,1.0,1.0,1.0,1.0
1.6,0.84,1.0,1.0,1.0,1.0,1.0
1.625,0.88,1.0,1.0,1.0,1.0,1.0
1.65,0.88,1.0,1.0,1.0,1.0,1.0
1.675,0.8,1.0,1.0,1.0,1.0,1.0
1.7,0.72,1.0,1.0,1.0,1.0,1.0
1.725,0.2,0.0,0.0,0.0,0.0,0.0
1.75,0.64,0.0,0.0,0.0,0.0,0.0
1.775,0.5,0.0,0.0,0.0,0.0,0.0
1.8,0.86,0.0,0.0,0.0,0.0,0.0
1.825,0.9,0.0,0.0,0.0,0.0,0.0
1.85,0.9,0.0,0.0,0.0,0.0,0.0
1.875,1.0,0.0,0.0,0.0,0.0,0.0
1.9,0.98,0.0,0.0,0.0,0.0,0.0
1.925,0.9,0.0,0.04,0.0,0.0,0.0
1.95,1.0,0.0,0.0,0.02,0.0,0.0
1.975,1.0,0.0,0.08,0.02,0.0,0.02
2.0,0.98,0.0,0.06,0.0,0.04,0.04
2.025,0.98,0.0,0.22,0.14,0.14,0.14
2.05,0.96,0.0,0.34,0.44,0.28,0.38
2.075,0.98,0.0,0.54,0.58,0.6,0.58
2.1,0.92,0.0,0.72,0.78,0.76,0.78
2.125,0.96,0.0,0.8,0.88,0.86,0.84
2.15,0.94,0.0,0.94,0.94,0.94,0.98
2.175,0.96,0.0,0.88,0.94,1.0,0.94
2.2,0.98,0.0,0.94,0.98,1.0,0.98
2.225,0.96,0.0,0.96,0.98,0.96,0.98
2.25,1.0,0.0,0.98,0.94,0.96,1.0
2.275,0.94,0.0,0.92,0.96,1.0,1.0
2.3,0.96,0.0,0.98,0.98,1.0,1.0
2.35,0.96,0.0,0.98,0.98,1.0,1.0
2.4,0.96,0.0,1.0,1.0,1.0,1.0
2.45,0.96,0.0,1.0,1.0,1.0,1.0
2.5,0.88,0.0,1.0,1.0,1.0,1.0
2.55,0.94,0.0,1.0,1.0,1.0,1.0
2.6,0.98,0.06,1.0,1.0,1.0,1.0
2.65,0.9,0.54,1.0,1.0,1.0,1.0
2.7,0.9,0.96,1.0,1.0,1.0,1.0
2.75,0.96,1.0,1.0,1.0,1.0,1.0
2.8,0.96,1.0,1.0,1.0,1.0,1.0
2.85,0.9,1.0,1.0,1.0,1.0,1.0
2.9,0.94,1.0,1.0,1.0,1.0,1.0
2.95,0.9,1.0,1.0,1.0,1.0,1.0
3.0,0.92,1.0,0.98,1.0,1.0,1.0
