x1,x2,x3,x4
100.0,3.04,4.045,7.055
200.0,3.01,3.63,5.535
300.0,3.0,3.39,4.86
400.0,3.0,3.245,4.14
500.0,3.0,3.25,4.215
600.0,3.0,3.22,4.16
700.0,3.0,3.165,4.025
800.0,3.0,3.115,3.845
900.0,3.0,3.13,3.835
1000.0,3.0,3.135,3.715
1100.0,3.0,3.145,3.765
1200.0,3.0,3.08,3.52
1300.0,3.0,3.07,3.575
1400.0,3.0,3.05,3.575
1500.0,3.0,3.045,3.45
1600.0,3.0,3.03,3.5
1700.0,3.0,3.055,3.515
1800.0,3.0,3.065,3.395
1900.0,3.0,3.01,3.45
2000.0,3.0,3.065,3.35
2100.0,3.0,3.015,3.33
2200.0,3.0,3.03,3.315
2300.0,3.0,3.045,3.29
2400.0,3.0,3.07,3.425
2500.0,3.0,3.02,3.17
2600.0,3.0,3.015,3.305
2700.0,3.0,3.015,3.195
2800.0,3.0,3.01,3.235
2900.0,3.0,3.02,3.215
3000.0,3.0,3.01,3.27
3100.0,3.0,3.015,3.285
3200.0,3.0,3.005,3.23
3300.0,3.0,3.015,3.24
3400.0,3.0,3.01,3.135
3500.0,3.0,3.01,3.225
3600.0,3.0,3.005,3.2
3700.0,3.0,3.01,3.195
3800.0,3.0,3.015,3.16
3900.0,3.0,3.02,3.165
4000.0,3.0,3.005,3.175
4100.0,3.0,3.005,3.145
4200.0,3.0,3.005,3.145
4300.0,3.0,3.01,3.11
4400.0,3.0,3.0,3.185
4500.0,3.0,3.01,3.185
4600.0,3.0,3.005,3.155
4700.0,3.0,3.005,3.145
4800.0,3.0,3.005,3.105
4900.0,3.0,3.01,3.12
5000.0,3.0,3.005,3.12
5100.0,3.0,3.005,3.135
5200.0,3.0,3.01,3.2
5300.0,3.0,3.0,3.105
5400.0,3.0,3.01,3.145
5500.0,3.0,3.01,3.125
5600.0,3.0,3.0,3.195
5700.0,3.0,3.005,3.105
5800.0,3.0,3.005,3.145
5900.0,3.0,3.01,3.145
6000.0,3.0,3.005,3.13
6100.0,3.0,3.0,3.12
6200.0,3.0,2.995,3.13
6300.0,3.0,3.01,3.08
6400.0,3.0,3.01,3.09
6500.0,3.0,3.01,3.095
6600.0,3.0,3.005,3.05
6700.0,3.0,3.0,3.13
6800.0,3.0,3.0,3.11
6900.0,3.0,3.005,3.11
7000.0,3.0,3.0,3.075
7100.0,3.0,3.0,3.085
7200.0,3.0,3.0,3.035
7300.0,3.0,3.01,3.11
7400.0,3.0,3.0,3.11
7500.0,3.0,3.005,3.075
7600.0,3.0,3.0,3.055
7700.0,3.0,3.01,3.075
7800.0,3.0,3.0,3.05
7900.0,3.0,3.005,3.05
8000.0,3.0,3.0,3.08
